script/assets/dataset_full.json
id,time Inic, time final
46bd9ea5-77e5-4228-89ad-c3cee18768d0,51699,57699
e9d3ac45-c02b-401f-8f2f-dc7ea6eeaf43,51299,54099
b147d5c0-899d-44a2-88af-9566e6f83fbe,53199,63466
33220e56-3188-4255-943d-146b62a82f89,52199,55999
614647ea-3402-4515-a3f6-425f79b0bfb8,50999,60399
8f6fa4ec-72c6-4dab-89c2-9135efc3b161,80666,84533
830fa35d-2ee4-4f17-86db-d3119e8a3c96,80666,90933
960f2414-dd05-45e4-b1ec-497641c4a02f,80666,85933
4da8fab8-b84d-4ddb-9ccd-cee987154b28,81266,85199
4345f589-80ab-491d-80da-d31638ab4aec,81766,93499
660414a4-bda4-4743-b91b-d49a09981dd1,80666,96800
539455ff-0d38-4864-8917-b4cba66296c6,81066,86199
02ae2f53-1e87-4c6a-b375-0025df3a7318,81666,85532
d9a8f1eb-2f84-42b6-820b-edc9ec7e140f,81066,87799
fab3426a-ef42-4e52-9955-7ff76b84bf6e,81966,86032
317603aa-a56a-4408-9d36-34b9bb40daef,80666,85399
9a7338a0-add2-4e66-bd99-98b73d86d135,80666,84400
e2e5196b-1c77-4c1b-920f-eb1212e95fca,81266,86599
b6695858-4fa1-4d37-926a-9cc9b54f4de7,81566,85699
8ea69cb8-41e8-4db8-b52f-61c46cc795f1,81566,85366
d9243156-cb93-41ed-bc41-448c8b3e0f85,84466,90199
f112ffb5-f1ce-4745-9da4-1bd997ef4f85,81866,86999
1d44ddf8-698f-4e04-a694-c729ade9285f,82966,86766
f5002465-ad85-4629-b9a8-03d61732dedb,82366,85899
32e947d4-5dca-4c5a-97fb-6b7ddce4409a,81866,88333
72a56cfe-b654-44a8-b856-7c0152ccaa33,83166,86566
98198e8c-d4cf-4ed8-be74-b95106b1a6be,81066,86199
17527906-e0ee-4e7f-b658-918162da56ca,82166,87365
245ec88d-ad57-4046-a940-68fb9044bc03,80666,84732
b36ece28-4614-42dd-ad51-3cb4894ce595,81466,85133
f9197f1a-46b5-4363-aad2-fd7c07c9b2ba,96800,100600
a4370494-a2c6-4cf3-a433-128f96d51f2d,97500,101767
769b233b-8dad-44e7-aaf3-e02804e1ce8f,97300,103233
a3ea22e1-d8a0-4a8f-9ba1-b0cb80a4deba,96800,100067
bbbb2d00-1170-42d8-898d-f304ee2f3504,96800,103133
57c6e95d-e4d4-4b4a-a930-dd73026af3e5,97200,102133
f2b2a73e-1fbf-4f24-9b3c-7b4e83ace703,97600,100867
b1ff2d82-edce-45b4-8408-68455ee3def1,98100,105500
111880f4-8700-4797-9761-7c8e665b3f44,96800,99800
6cfef0ff-0fbc-4dd2-a6c4-d98f9abc1b2f,96800,101066
f9f86952-73bf-475e-b414-a59164441392,98300,101567
99b9fe5c-e8d3-4454-a2cf-c508de12dd30,97000,102533
e23c4f99-5c5a-4d6c-beb9-1afe79438e10,97600,102866
b5c27078-6929-4d66-9470-882ce7819aab,96800,100200
4bfd5c68-240c-4491-a31d-28c0b430bfeb,98500,101900
7d502663-0588-44ae-81e1-cec99199de30,96800,104067
71cb5324-88fb-440a-93bf-08ed61108c0d,96800,100334
47616379-1b3b-4a5d-a005-45a0385deabd,98800,103066
34051b3c-6067-4bbe-a5e6-6345638f5fb4,98400,104733
a35d6174-5981-41af-b880-4524c3d27b4a,99200,102599
fe5565c0-fe0c-422d-ad31-b52136bec02f,102600,110533
ae0ef499-2693-49c3-9787-5ca09886a7c8,97000,102400
2b404b3c-0ac6-4ce8-85f9-082bfb5d6209,98000,103000
654bc50a-0f7e-4e17-8457-35a47e55b21e,96800,103400
1e7ed8ae-07cc-48be-9e1e-0c485318a47f,96800,105333
79380192-c648-4fe8-b215-32f3370aca6a,110533,113266
6cd0bfa9-c662-43cb-b6fd-ea592fd71bfc,110533,115199
16df367d-bdbb-4f9f-83d7-866491b0faa0,111733,115200
8dcd69d6-5bd2-4e70-a3e3-3511ea4a4c3b,110633,116966
b0ed0a7d-06ee-4c35-adba-87bb45f18072,110533,114599
fcadbf44-c7f2-41f0-97f1-9c07d20203d0,112333,115333
b713100b-79c7-484e-98f1-9daa33e04756,111633,115566
cb721467-c954-4f5e-ae25-b6850571e5e5,110533,114200
39964c40-fe52-400c-9d5f-29c70e93918f,110533,122799
37a82bc1-3372-4dbe-b191-cc3dbf084541,110733,114266
bfd633f8-ef01-4620-905b-bf885a0e37b2,110533,113400
0b06e688-545e-4f71-b405-8471fd8bbb74,110533,114933
7766b688-7185-48b0-85ae-0f3bf49b7d45,110733,114867
e7975f3d-95c1-4be7-a053-1b0f190e0091,111133,115267
cffcc925-0205-4dcb-858a-36dd89a01b1f,111533,115666
e34fba0d-b780-4755-b320-cda72fbaf786,110733,118199
d1de2d1c-11bf-4cd7-a05e-7927a7f1dee8,110533,113600
b1a1f8f1-17d6-4fea-964a-da4406fa4246,110633,114433
d26e179f-2e66-41cc-a894-0af58460db37,110833,117766
935f3079-a74c-4dc0-a253-29aa19b9092b,110933,114800
aef12ea1-f534-43ec-8f5e-9e11cf884a2b,111933,115866
be3b0e25-b6d0-4259-afa7-96196d1f0434,110533,119267
7b4645da-adb2-494d-8434-d79d35f1fe50,110533,114067
e70a3c28-9e80-4788-aec5-247015c6362e,110533,120466
812d839e-4578-49b1-af10-d97b4d489d13,112533,116267
87b171f5-9daa-4681-8029-908a0c81f22a,111533,115332
af399b7c-b32f-43a1-85ac-3bfc356516e2,111533,124667
62081406-e464-455a-8c34-f473a1e71ceb,111233,115166
1d1b6998-6e39-413d-b77d-e5d0631df067,112333,116200
8ce9ac76-c390-4387-84f1-31e1006829c1,112533,119733
4bdb4d11-b023-4251-8c12-5815946626b6,124667,145334
6f7d8352-a44d-4da2-bfab-75c3e1a1e324,124667,127667
f5e84632-1c40-47d3-b74d-bc5418361b81,124667,127533
aa414d31-3eb1-455a-b58b-2348f419fdc9,124667,129267
9f066d5b-cb02-4de0-830f-244cab9d366f,124967,128967
5ac90a9f-b0b4-4068-8e68-d4916d335cf2,124667,131734
3d0dead3-f857-44f7-9a42-aefc7faaf0f8,124667,142134
0ca63024-ebfe-4d2d-8c65-34e31c03b29e,125267,137067
aa99ee05-0d1c-474f-8882-90426f525fc3,124667,129933
f9b403c2-1dc9-4bff-8089-1f0dd453ff9b,124667,132733
9b2bb8a3-2a68-4b83-be6d-e4a43a860013,126667,133333
65914d54-1877-4bc2-aa09-6768f43ae008,124667,130533
6527bd92-1c90-4cc9-8744-109beca615ec,124667,133067
be4979dc-c447-4e0b-ad00-c843db089204,127867,133200
d08d214c-04c0-461e-a697-ffe987ba3c22,125267,129800
ef19b4f4-909c-4755-9543-3934abc042ee,125267,129934
c3b7f984-3e2b-4019-b308-a776ac14b117,125367,130167
548c17a7-1563-496e-9304-b451bac719e7,124667,141600
63ec22bb-18e8-4e80-bc07-690b723c8698,124767,128901
6406436e-d7c4-48a2-aa7d-c131d031398f,125667,136400
ab437bce-ea5d-464f-bd25-9befb5942b20,128067,134333
6763eab7-ec81-4a00-b608-7fb0e6bbd736,124667,129601
635d47b6-2740-4bfb-bde2-957889fd0de2,125867,129467
76013dd7-c7a4-4dd9-9ef5-a3e86770dcd5,125267,131267
2659dd86-2027-46bf-97ec-a398bfde65fa,125867,129267
92f2b857-660f-4158-a122-2985287fe70a,126667,130133
5a9649e9-e439-4a27-b577-d93dbd0de37e,124667,127933
ca78cbd9-8258-4baa-9acf-6927765d3057,124667,128267
66799dff-fc92-41ee-ad30-f487151b7b05,125167,129701
e89c1bd3-6dfd-4192-b43f-3ef91540c26e,125267,132133
c55637fc-deeb-4040-b3a8-663394d7a7d7,145334,149734
2349093c-6e66-4fee-a6f2-77a47e97bb5d,145334,148601
4a5c1314-9fa6-4b5e-b292-f2f64d3ad7f2,145334,152933
e2fffb6d-f0da-4ded-acdc-d55e755a9728,145734,153467
6eb0b07f-b9be-4232-8116-3ca258ba4435,145334,149934
a3ce68d6-1792-4c1e-a5fd-59a96e4d751c,145734,149267
eb9686dc-7ef8-4f87-88d5-619fccc37664,145334,158401
db3d323d-25c7-4d61-b2fa-9c2bcd222948,145534,151734
1f01db1e-f9c5-470b-9cb7-d3a5f66fb136,145334,159934
df305c0e-17f6-4ec5-a516-5ab637b6239f,145334,148134
399a6870-e06f-4858-8fa2-de0b889d23c6,145334,149734
28b4c107-f17b-4f45-a983-b28f46f7d18c,145534,150601
8723ddb5-f780-46a7-8dee-fdd0af7c9829,146534,149534
8fc0dae3-5314-47db-a610-ab6dbfbfbeb3,146234,155767
5939c5b5-09b6-43d0-8b4d-aded8d9ab80f,147134,150734
8db5397e-a0df-430b-b562-c0a57412ea21,145534,149534
86c3a6b2-e8a8-4596-af7c-3e31c96fdac2,146534,151468
b3943992-fa14-4e71-af73-706dea50a19a,145934,150400
edeeb019-6753-46a5-910c-b9c81fd3a8f3,146734,150934
bcce8603-9cce-4adf-bc41-5c528977b971,145734,152068
b235bd30-d5d8-4a74-ae4e-13bb36310c3f,145734,152733
c50ceae3-9deb-4908-af5b-53cdefdc8871,145334,151934
5967a7fb-0ad5-44c5-9039-cc7a1f169869,145334,153867
7c12d9ce-fda1-4a2f-b6b5-e4b0ae17340a,145334,150800
2cfabb3f-0cbb-4a19-aecc-1a0a9d0ea007,145334,149134
d496dbad-f2a4-4f87-8e19-2b0645f4f557,145534,151400
0e339604-5031-4134-b189-8ddc68b4694c,146734,150667
bbd150ff-93c2-444e-b00e-79cc4fd518f9,159934,173534
040c4956-6b4a-439a-bdb9-9a49dca3b106,159934,163467
c7bb3cac-5170-4fb2-8ceb-8ad7a00f178a,160334,163267
f9a1e726-2fec-4ae9-bf93-3af2b2bc1b26,160534,164200
3513e320-3aa6-46b7-bb2e-ef91a562cbfb,159934,165867
fb65f2bd-81d4-47c7-981d-9a8f9c9c26af,160134,167400
679594b9-c9dc-4360-a476-9405e0cf7c7a,160534,165400
91f73eec-236f-4405-a212-027a06ff98a9,159934,167001
3d4d6d3d-b4d8-42a3-83e2-4e57475e1661,160634,166634
65b61cdd-f1ab-4b9f-a88a-1d4bff68c0c8,159934,163868
89ec2f94-dadf-4832-8760-8092786e7f48,160534,164467
26481890-57c9-4270-bd34-8dcdc17a46e3,160534,166000
c8f53a5b-c4e8-40e0-9a31-2bd8dc81814e,159934,173867
37ca01ca-7e98-430b-971c-57ed30505807,161134,168001
7b7dd052-9232-4640-89dc-2af00869e3eb,160134,174067
c1d0a5d0-491f-4e31-9b22-09222c93451c,160634,164300
f9cc94bb-1d27-4db2-a467-465e23c8d296,162234,165234
b732ca02-48d2-40f8-85d7-c9e7e8aba804,159934,164734
4854d787-ea3f-4baf-9c7b-5557edddbad1,161334,164401
2cd453a6-8b8b-4cd4-b88a-aa5985e4180c,160834,164434
0d5246b5-412d-4395-bf17-535944379005,160534,164867
8d01e804-a22e-40eb-aeca-afbbd0f18488,162034,165900
ad0dae81-f1b0-4732-a172-82526961e781,160834,164767
68ebed15-bd7e-4048-a59b-1e500f240682,162934,167134
a6c1957f-cad1-4ef6-93de-7c68c0ece0fe,174067,179733
e1afe58e-0519-4d16-932b-a4775ac00fe7,174067,180067
5d753115-7c5e-454a-9f17-68d4a44f2866,175467,178201
ec9098b6-e5a3-4e75-a87b-eb7a1431f576,174067,177267
7962c9a2-b187-47e2-a278-47cdca62c50c,174767,182034
851a6ce4-61f8-4e71-bfe9-ebcd25066a08,175967,179567
341e78e3-5d78-43e1-b995-424fbf3dde03,174067,179400
33e2d3ec-95d7-4cb3-a55d-47d6eea179fe,174267,179534
8ac01148-b3b1-4dfb-9c8f-2b99b1f05a67,174067,178001
8b03b112-aea2-4fd5-8535-03344d9af634,174267,177934
a789e051-a2d4-40cb-b97d-d9192bd743b0,174067,177801
f26f9a61-0384-4a04-9509-336738aa0326,175567,180900
